# 7.010E-01  1.000E-02  X, Z
#    17                 No. of Elements
#     1   9.052E-01     Atomic No., Normalised Abundance
#     2   9.399E-02
#     6   1.882E-04
#     7   4.949E-05
#     8   3.932E-04
#    10   6.234E-05
#    11   1.132E-06
#    12   2.016E-05
#    13   1.568E-06
#    14   1.882E-05
#    16   8.605E-06
#    18   1.759E-06
#    20   1.216E-06
#    24   2.478E-07
#    25   1.300E-07
#    26   1.716E-05
#    28   9.408E-07
#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr
   7.022E+00   1.576E+00  -1.491E+00   1.341E-01  -1.946E+00   4.236E-01
   7.020E+00   1.569E+00  -1.490E+00   1.364E-01  -1.953E+00   4.243E-01
   7.017E+00   1.561E+00  -1.489E+00   1.386E-01  -1.961E+00   4.249E-01
   7.014E+00   1.554E+00  -1.488E+00   1.409E-01  -1.968E+00   4.255E-01
   7.011E+00   1.547E+00  -1.488E+00   1.431E-01  -1.975E+00   4.261E-01
   7.009E+00   1.539E+00  -1.487E+00   1.453E-01  -1.983E+00   4.266E-01
   7.006E+00   1.532E+00  -1.486E+00   1.475E-01  -1.990E+00   4.270E-01
   7.003E+00   1.525E+00  -1.486E+00   1.497E-01  -1.998E+00   4.274E-01
   7.001E+00   1.517E+00  -1.485E+00   1.519E-01  -2.005E+00   4.278E-01
   6.998E+00   1.510E+00  -1.484E+00   1.540E-01  -2.013E+00   4.282E-01
   6.995E+00   1.502E+00  -1.484E+00   1.562E-01  -2.020E+00   4.285E-01
   6.993E+00   1.495E+00  -1.484E+00   1.583E-01  -2.028E+00   4.287E-01
   6.990E+00   1.487E+00  -1.483E+00   1.604E-01  -2.036E+00   4.289E-01
   6.988E+00   1.480E+00  -1.483E+00   1.625E-01  -2.044E+00   4.291E-01
   6.985E+00   1.472E+00  -1.482E+00   1.646E-01  -2.052E+00   4.293E-01
   6.982E+00   1.465E+00  -1.482E+00   1.667E-01  -2.059E+00   4.294E-01
   6.980E+00   1.457E+00  -1.482E+00   1.688E-01  -2.067E+00   4.295E-01
   6.977E+00   1.450E+00  -1.482E+00   1.709E-01  -2.075E+00   4.295E-01
   6.975E+00   1.442E+00  -1.482E+00   1.730E-01  -2.084E+00   4.295E-01
   6.972E+00   1.435E+00  -1.482E+00   1.750E-01  -2.092E+00   4.295E-01
   6.970E+00   1.427E+00  -1.482E+00   1.771E-01  -2.100E+00   4.294E-01
   6.967E+00   1.420E+00  -1.482E+00   1.791E-01  -2.108E+00   4.294E-01
   6.965E+00   1.412E+00  -1.482E+00   1.812E-01  -2.117E+00   4.292E-01
