# 7.010E-01  1.800E-02  X, Z	# 7.010E-01  1.800E-02  X, Z
#    17                 No. of Elements	#    17                 No. of Elements
#     1   9.071E-01     Atomic No., Normalised Abundance	#     1   9.071E-01     Atomic No., Normalised Abundance
#     2   9.157E-02	#     2   9.157E-02
#     6   2.655E-04	#     6   8.362E-06
#     7   7.808E-05	#     7   4.037E-04
#     8   7.183E-04	#     8   6.632E-04
#    10   1.273E-04	#    10   1.175E-04
#    11   2.311E-06	#    11   2.134E-06
#    12   4.116E-05	#    12   3.800E-05
#    13   3.201E-06	#    13   2.956E-06
#    14   3.841E-05	#    14   3.547E-05
#    16   1.757E-05	#    16   1.622E-05
#    18   3.592E-06	#    18   3.316E-06
#    20   2.483E-06	#    20   2.292E-06
#    24   5.059E-07	#    24   4.671E-07
#    25   2.655E-07	#    25   2.451E-07
#    26   3.504E-05	#    26   3.235E-05
#    28   1.921E-06	#    28   1.773E-06
#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr	#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr
   7.215E+00   1.998E+00  -1.646E+00   5.414E-02  -1.650E+00   3.042E-01	   7.215E+00   1.998E+00  -1.646E+00   4.351E-02  -1.643E+00   3.053E-01
   7.214E+00   1.997E+00  -1.646E+00   5.451E-02  -1.651E+00   3.044E-01	   7.214E+00   1.997E+00  -1.646E+00   4.388E-02  -1.643E+00   3.056E-01
   7.214E+00   1.997E+00  -1.645E+00   5.491E-02  -1.652E+00   3.047E-01	   7.214E+00   1.997E+00  -1.645E+00   4.427E-02  -1.644E+00   3.059E-01
   7.214E+00   1.996E+00  -1.645E+00   5.534E-02  -1.653E+00   3.050E-01	   7.214E+00   1.996E+00  -1.645E+00   4.470E-02  -1.645E+00   3.062E-01
   7.213E+00   1.996E+00  -1.644E+00   5.580E-02  -1.654E+00   3.053E-01	   7.213E+00   1.996E+00  -1.644E+00   4.516E-02  -1.646E+00   3.065E-01
   7.213E+00   1.995E+00  -1.643E+00   5.631E-02  -1.655E+00   3.057E-01	   7.213E+00   1.995E+00  -1.643E+00   4.566E-02  -1.647E+00   3.068E-01
   7.212E+00   1.994E+00  -1.643E+00   5.685E-02  -1.656E+00   3.061E-01	   7.212E+00   1.994E+00  -1.643E+00   4.620E-02  -1.648E+00   3.072E-01
   7.212E+00   1.994E+00  -1.642E+00   5.744E-02  -1.657E+00   3.065E-01	   7.212E+00   1.994E+00  -1.642E+00   4.679E-02  -1.650E+00   3.076E-01
   7.211E+00   1.993E+00  -1.641E+00   5.808E-02  -1.658E+00   3.070E-01	   7.211E+00   1.993E+00  -1.641E+00   4.742E-02  -1.651E+00   3.081E-01
   7.211E+00   1.992E+00  -1.640E+00   5.877E-02  -1.660E+00   3.074E-01	   7.211E+00   1.992E+00  -1.640E+00   4.810E-02  -1.652E+00   3.086E-01
   7.210E+00   1.991E+00  -1.639E+00   5.951E-02  -1.661E+00   3.080E-01	   7.210E+00   1.991E+00  -1.639E+00   4.884E-02  -1.654E+00   3.091E-01
